"PRACTICAL APPLIED MATHEMATICS",,,"CAMBRIDGE UNIVERSITY PRESS",2006,,,,"ENGLISH","CAMBRIDGE","519",,,,"HOWISON, S.","MATHS,TITLE,","00067",,"1","375",,"UNIQUE BOOK STORE",,,,"MATHS,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PROBLEM OF CRIME",2,,,1996,,,,"ENGLISH",,"364.1",,,,"MUNCIE, J. AND MCLAUGHLIN, E.","GEN,TITLE,","00068",,"1","495",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"FUNDAMENTALS OF REASONING",4,,"WADSWORTH",2002,,,,"ENGLISH","AUSTRALIA","160",,,,"JOHNSON, R, M.","GEN,TITLE,","00069",,"1","510",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"GREAT INDIAN FAMILY",,,"PENGUIN BOOKS",2006,,,,"ENGLISH","NEW DELHI ","306.385954",,,,"PRASAD, G.","GEN,TITLE,","00070",,"1","295",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"FIFTY CONTEMPORARY CHOREOGRAPHERS",,,"ROUTLEDGE KEY GUIDES",2000,,,,"ENGLISH","LONDON","792.82092",,,,"BREMSER, M.","GEN,TITLE,","00071",,"1","295",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CRITICAL PRACTICE IN HEALTH AND SOCIAL CARE",,,"SAGE PUBLICATION",,,,,"ENGLISH","NEW DELHI","362.10941",,,,"BRECHIN, A. AND OTHERS","GEN,TITLE,","00072",,"1","395",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"OXFORD COMPANION TO INDIAN THEATRE",,,"OXFORD UNIVERSITY PRESS",2004,,,,"ENGLISH","NEW DELHI   ","792.954",,,,"LAL, A.","GEN,TITLE,","00073",,"1","2500",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CONCEPT OF WORK IN INDIAN SICIETY",,,"MANOHAR PUBLICATION",1990,,,,"ENGLISH","SIMLA","301.954",,,,"MODDIE, A, D.","GEN,TITLE,","00074",,"1","200",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"ETHICS CONFLICT AND SECESSIONISM IN SOUTH AND SOUTHEAST ASIA",,,"SAGE PUBLICATION",2002,,,,"ENGLISH","NEW DELHI","954.04",,,,"GANGULY, R. AND MACDUFF, I.","GEN,TITLE,","00075",,"1","495",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"BLACKWELL COMPANION TO PHILOSOPHY",2,,"BLACKWELL PUBLICATION",2003,,,,"ENGLISH",,"100",,,,"BUNNIN, N. NAD TSUI JAMES, E, P.","GEN,TITLE,","00076",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"HANDBOOK OF INDIAN SOCIOLOGY",,,"OXFORD UNIVERSITY PRESS",2004,,,,"ENGLISH","NEW DELHI   ","301.954",,,,"DAS, V.","GEN,TITLE,","00077",,"1","695",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"MAJOR CLASSICAL SOCIAL THEORISTS",,,"BLACKWELL PUBLICATION",2003,,,,"ENGLISH",,"398.27",,,,"RITZER, G.","GEN,TITLE,","00078",,"1","1640",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"OXFORD LANGUAGE REFERENCE: I",,,"OXFORD UNIVERSITY PRESS",2006,,,,"ENGLISH","NEW DELHI   ","423.1",,,,"LAW, J. ED.","GEN,TITLE,","00079",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"OXFORD DICTIONARY OF QUOTATIONS AND PROVERBS: II",,,"OXFORD UNIVERSITY PRESS",2006,,,,"ENGLISH","NEW DELHI   ","423",,,,"RATCLIFFE, S.","DICT,TITLE,","00080",,"1","795",,"UNIQUE BOOK STORE",,,,"DICT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"OXFORD DICTIONARY AND THESAURUS",,,"OXFORD UNIVERSITY PRESS",2006,,,,"ENGLISH","NEW DELHI   ","423",,,,"ELLIOTT, J. AND OTHERS","DICT,TITLE,","00081",,"1","795",,"UNIQUE BOOK STORE",,,,"DICT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"MODERN AMERICAN DRAMA: 1945 TO 2000",,,"CAMBRIDGE UNIVERSITY PRESS",2000,,,,"ENGLISH","CAMBRIDGE","812.509",,,,"BIGSBY, C, W, E.","GEN,","00082",,"1","395",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"HIGHER EDUCATION SOCIAL CHANGE AND NATIONAL DEVELOPMENT",,,"INDIAN INSTITUTE OF ADVANCE STUDY PUBLICATION",1975,,,,"ENGLISH","SIMLA","378.54",,,,"KAUL, J, N.","GEN,TITLE,","00083",,"1","65",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"BINODINI",,,"SAHITYA ACADEMY",2004,,,,"ENGLISH","NEW DELHI","823",,,,"TAGORE, R.","GEN,TITLE,","00084",,"1","90",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"LITERARY JOURNALISM",,,"WADSWORTH",2001,,,,"ENGLISH","AUSTRALIA","818.540808",,,,"CHANCE, J. AND MCKEEN, W.","GEN,TITLE,","00085",,"1","595",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CRITICAL DICTIONARY OF SOCIOLOGY",,,"ROUTLADGE",1989,,,,"ENGLISH","LONDON","301.03",,,,"BOUDON, R. AND BOURRICAUD, F.","DICT,TITLE,","00086",,"1","495",,"UNIQUE BOOK STORE",,,,"DICT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"WAR AND IDEOLOGY",,,"ROUTLADGE",1990,,,,"ENGLISH","LONDON","303.66",,,,"CARLTON, E.","GEN,TITLE,","00087",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
